Akazienholzboot,Acacia Boat,acacia_boat,%ID1%
Lama-Spawn-Ei,Llama Spawn Egg,llama_spawn_egg,%ID447%
Webstuhl,Loom,loom,%ID448%
Magenta Banner,Magenta Banner,magenta_banner,%ID449%
Magenta Bett,Magenta Bed,magenta_bed,%ID450%
Magenta Teppich,Magenta Carpet,magenta_carpet,%ID451%
Magenta Beton,Magenta Concrete,magenta_concrete,%ID452%
Magenta Trockenbeton,Magenta Concrete Powder,magenta_concrete_powder,%ID453%
Magenta Farbstoff,Magenta Dye,magenta_dye,%ID454%
Magenta glasierte Keramik,Magenta Glazed Terracotta,magenta_glazed_terracotta,%ID455%
Magenta Shulkerkiste,Magenta Shulker Box,magenta_shulker_box,%ID456%
Magenta Glas,Magenta Stained Glass,magenta_stained_glass,%ID457%
Magenta Glasscheibe,Magenta Stained Glass Pane,magenta_stained_glass_pane,%ID458%
Magenta Keramik,Magenta Terracotta,magenta_terracotta,%ID459%
Magenta Wolle,Magenta Wool,magenta_wool,%ID460%
Magmablock,Magma Block,magma_block,%ID461%
Magmacreme,Magma Cream,magma_cream,%ID462%
Karte,Map,map,%ID463%
Melone,Block of Melon,melon,%ID464%
Melonensamen,Melon Seeds,melon_seeds,%ID465%
Melonenscheibe,Melon Slice,melon_slice,%ID466%
Milcheimer,Milk,milk_bucket,%ID467%
Lore,Minecart,minecart,%ID468%
Mooshroom-Spawn-Ei,Mooshroom Spawn Egg,mooshroom_spawn_egg,%ID469%
Bemooster Bruchstein,Mossy Cobblestone,mossy_cobblestone,%ID470%
Bemooste Bruchsteinstufe,Mossy Cobblestone Slab,mossy_cobblestone_slab,%ID471%
Bemooste Bruchsteintreppe,Mossy Cobblestone Stairs,mossy_cobblestone_stairs,%ID472%
Bemooste Bruchsteinmauer,Mossy Cobblestone Wall,mossy_cobblestone_wall,%ID473%
Bemooste Steinziegelstufe,Mossy Stone Brick Slab,mossy_stone_brick_slab,%ID474%
Bemooste Steinziegeltreppe,Mossy Stone Brick Stairs,mossy_stone_brick_stairs,%ID475%
Bemooste Steinziegelmauer,Mossy Stone Brick Wall,mossy_stone_brick_wall,%ID476%
Bemooster Steinziegel,Mossy Stone Bricks,mossy_stone_bricks,%ID477%
Maultier-Spawn-Ei,Mule Spawn Egg,mule_spawn_egg,%ID478%
Pilzstiel,Mushroom Stem,mushroom_stem,%ID479%
Pilzsuppe,Mushroom Stew,mushroom_stew,%ID480%
Schallplatte,Music Disc C418 - 11,music_disc_11,%ID481%
Schallplatte,Music Disc C418 - 13,music_disc_13,%ID482%
Schallplatte,Music Disc C418 - blocks,music_disc_blocks,%ID483%
Schallplatte,Music Disc C418 - cat,music_disc_cat,%ID484%
Schallplatte,Music Disc C418 - chirp,music_disc_chirp,%ID485%
Schallplatte,Music Disc C418 - far,music_disc_far,%ID486%
Schallplatte,Music Disc C418 - mall,music_disc_mall,%ID487%
Schallplatte,Music Disc C418 - mellohi,music_disc_mellohi,%ID488%
Schallplatte,Music Disc C418 - stal,music_disc_stal,%ID489%
Schallplatte,Music Disc C418 - strad,music_disc_strad,%ID490%
Schallplatte,Music Disc C418 - wait,music_disc_wait,%ID491%
Schallplatte,Music Disc C418 - ward,music_disc_ward,%ID492%
Rohes Hammelfleisch,Raw Mutton,mutton,%ID493%
Myzel,Mycelium,mycelium,%ID494%
Namensschild,Name Tag,name_tag,%ID495%
Nautilusschale,Nautilus Shell,nautilus_shell,%ID496%
Netherziegel,Nether Brick,nether_brick,%ID497%
Netherziegelzaun,Nether Brick Fence,nether_brick_fence,%ID498%
Netherziegelstufe,Nether Brick Slab,nether_brick_slab,%ID499%
Netherziegeltreppe,Nether Brick Stairs,nether_brick_stairs,%ID500%
Netherziegelmauer,Nether Brick Wall,nether_brick_wall,%ID501%
Netherziegel,Block of Nether Brick,nether_bricks,%ID502%
Netherquarzerz,Nether Quartz Ore,nether_quartz_ore,%ID503%
Netherstern,Nether Star,nether_star,%ID504%
Netherwarze,Nether Wart,nether_wart,%ID505%
Netherwarzenblock,Nether Wart Block,nether_wart_block,%ID506%
Netherrack,Netherrack,netherrack,%ID507%
Notenblock,Note Block,note_block,%ID508%
Eichenholzboot,Oak Boat,oak_boat,%ID509%
Eichenholzknopf,Oak Button,oak_button,%ID510%
Eichenholztür,Oak Door,oak_door,%ID511%
Eichenholzzaun,Oak Fence,oak_fence,%ID512%
Eichenholzzauntor,Oak Fence Gate,oak_fence_gate,%ID513%
Eichenlaub,Oak Leaves,oak_leaves,%ID514%
Eichenstamm,Oak Log,oak_log,%ID515%
Eichenholzbretter,Oak Wood Plank,oak_planks,%ID516%
Eichenholzdruckplatte,Oak Pressure Plate,oak_pressure_plate,%ID517%
Eichensetzling,Oak Sapling,oak_sapling,%ID518%
Eichenholzschild,Oak Sign,oak_sign,%ID519%
Eichenholzstufe,Oak Wood Slab,oak_slab,%ID520%
Eichenholztreppe,Oak Wood Stairs,oak_stairs,%ID521%
Eichenholzfalltür,Oak Trapdoor,oak_trapdoor,%ID522%
Eichenholz,Oak Wood,oak_wood,%ID523%
Beobachter,Observer,observer,%ID524%
Obsidian,Obsidian,obsidian,%ID525%
Ozelot-Spawn-Ei,Ocelot Spawn Egg,ocelot_spawn_egg,%ID526%
Oranges Banner,Orange Banner,orange_banner,%ID527%
Oranges Bett,Orange Bed,orange_bed,%ID528%
Oranger Teppich,Orange Carpet,orange_carpet,%ID529%
Oranger Beton,Orange Concrete,orange_concrete,%ID530%
Oranger Trockenbeton,Orange Concrete Powder,orange_concrete_powder,%ID531%
Oranger Farbstoff,Orange Dye,orange_dye,%ID532%
Orange glasierte Keramik,Orange Glazed Terracotta,orange_glazed_terracotta,%ID533%
Orange Shulkerkiste,Orange Shulker Box,orange_shulker_box,%ID534%
Oranges Glas,Orange Stained Glass,orange_stained_glass,%ID535%
Orange Glasscheibe,Orange Stained Glass Pane,orange_stained_glass_pane,%ID536%
Orange Keramik,Orange Terracotta,orange_terracotta,%ID537%
Orange Tulpe,Orange Tulip,orange_tulip,%ID538%
Orange Wolle,Orange Wool,orange_wool,%ID539%
Margerite,Oxeye Daisy,oxeye_daisy,%ID540%
Packeis,Packed Ice,packed_ice,%ID541%
Gemälde,Painting,painting,%ID542%
Panda-Spawn-Ei,Panda Spawn Egg,panda_spawn_egg,%ID543%
Papier,Paper,paper,%ID544%
Papageien-Spawn-Ei,Parrot Spawn Egg,parrot_spawn_egg,%ID545%
Pfingstrose,Peony,peony,%ID546%
Phantomhaut,Phantom Membrane,phantom_membrane,%ID547%
Schweine-Spawn-Ei,Pig Spawn Egg,pig_spawn_egg,%ID548%
Rosa Banner,Pink Banner,pink_banner,%ID549%
Rosa Bett,Pink Bed,pink_bed,%ID550%
Rosa Teppich,Pink Carpet,pink_carpet,%ID551%
Rosa Beton,Pink Concrete,pink_concrete,%ID552%
Rosa Trockenbeton,Pink Concrete Powder,pink_concrete_powder,%ID553%
Rosa Farbstoff,Pink Dye,pink_dye,%ID554%
Rosa glasierte Keramik,Pink Glazed Terracotta,pink_glazed_terracotta,%ID555%
Rosa Shulkerkiste,Pink Shulker Box,pink_shulker_box,%ID556%
Rosa Glas,Pink Stained Glass,pink_stained_glass,%ID557%
Rosa Glasscheibe,Pink Stained Glass Pane,pink_stained_glass_pane,%ID558%
Rosa Keramik,Pink Terracotta,pink_terracotta,%ID559%
Rosa Tulpe,Pink Tulip,pink_tulip,%ID560%
Rosa Wolle,Pink Wool,pink_wool,%ID561%
Kolben,Piston,piston,%ID562%
Podsol,Podzol,podzol,%ID563%
Giftige Kartoffel,Poisonous Potato,poisonous_potato,%ID564%
Eisbär-Spawn-Ei,Polar Bear Spawn Egg,polar_bear_spawn_egg,%ID565%
Polierter Andesit,Polished Andesite,polished_andesite,%ID566%
Polierte Andesitstufe,Polished Andesite Slab,polished_andesite_slab,%ID567%
Polierte Andesittreppe,Polished Andesite Stairs,polished_andesite_stairs,%ID568%
Polierter Diorit,Polished Diorite,polished_diorite,%ID569%
Polierte Dioritstufe,Polished Diorite Slab,polished_diorite_slab,%ID570%
Polierte Diorittreppe,Polished Diorite Stairs,polished_diorite_stairs,%ID571%
Polierter Granit,Polished Granite,polished_granite,%ID572%
Polierte Granitstufe,Polished Granite Slab,polished_granite_slab,%ID573%
Polierte Granittreppe,Polished Granite Stairs,polished_granite_stairs,%ID574%
Geplatzte Chorusfrucht,Popped Chorus Fruit,popped_chorus_fruit,%ID575%
Mohn,Poppy,poppy,%ID576%
Rohes Schweinefleisch,Raw Porkchop,porkchop,%ID577%
Kartoffel,Potato,potato,%ID578%
Wasserflasche,Water Bottle,potion,%ID579%
Antriebsschiene,Powered Rails,powered_rail,%ID580%
Prismarin,Prismarine,prismarine,%ID581%
Prismarinziegelstufe,Prismarine Brick Slab,prismarine_brick_slab,%ID582%
Prismarinziegeltreppe,Prismarine Bricks Stairs,prismarine_brick_stairs,%ID583%
Prismarinziegel,Prismarine Bricks,prismarine_bricks,%ID584%
Prismarinkristalle,Prismarine Crystals,prismarine_crystals,%ID585%
Prismarinscherbe,Prismarine Shard,prismarine_shard,%ID586%
Prismarinstufe,Prismarine Slab,prismarine_slab,%ID587%
Prismarintreppe,Prismarine Stairs,prismarine_stairs,%ID588%
Prismarinmauer,Prismarine Wall,prismarine_wall,%ID589%
Kugelfisch,Pufferfish,pufferfish,%ID590%
Kugelfischeimer,Bucket of Pufferfish,pufferfish_bucket,%ID591%
Kürbis,Pumpkin,pumpkin,%ID592%
Kürbiskuchen,Pumpkin Pie,pumpkin_pie,%ID593%
Kürbiskerne,Pumpkin Seeds,pumpkin_seeds,%ID594%
Violettes Banner,Purple Banner,purple_banner,%ID595%
Violettes Bett,Purple Bed,purple_bed,%ID596%
Violetter Teppich,Purple Carpet,purple_carpet,%ID597%
Violetter Beton,Purple Concrete,purple_concrete,%ID598%
Violetter Trockenbeton,Purple Concrete Powder,purple_concrete_powder,%ID599%
Violetter Farbstoff,Purple Dye,purple_dye,%ID600%
Violette glasierte Keramik,Purple Glazed Terracotta,purple_glazed_terracotta,%ID601%
Violette Shulkerbox,Purple Shulker Box,purple_shulker_box,%ID602%
Violettes Glas,Purple Stained Glass,purple_stained_glass,%ID603%
Violette Glasscheibe,Purple Stained Glass Pane,purple_stained_glass_pane,%ID604%
Violette Keramik,Purple Terracotta,purple_terracotta,%ID605%
Violette Wolle,Purple Wool,purple_wool,%ID606%
Purpurblock,Purpur Block,purpur_block,%ID607%
Purpursäule,Purpur Pillar,purpur_pillar,%ID608%
Purpurstufe,Purpur Slab,purpur_slab,%ID609%
Purpurtreppe,Purpur Stairs,purpur_stairs,%ID610%
Netherquarz,Nether Quartz,quartz,%ID611%
Quarzblock,Block of Quartz,quartz_block,%ID612%
Quarzsäule,Pillar Quartz Block,quartz_pillar,%ID613%
Quarzstufe,Quartz Slab,quartz_slab,%ID614%
Quarztreppe,Quartz Stairs,quartz_stairs,%ID615%
Rohes Kaninchen,Raw Rabbit,rabbit,%ID616%
Hasenpfote,Rabbit's Foot,rabbit_foot,%ID617%
Kaninchenfell,Rabbit Hide,rabbit_hide,%ID618%
Kaninchen-Spawn-Ei,Rabbit Spawn Egg,rabbit_spawn_egg,%ID619%
Kaninchenragout,Rabbit Stew,rabbit_stew,%ID620%
Schiene,Rails,rail,%ID621%
Rotes Banner,Red Banner,red_banner,%ID622%
Rotes Bett,Red Bed,red_bed,%ID623%
Roter Teppich,Red Carpet,red_carpet,%ID624%
Roter Beton,Red Concrete,red_concrete,%ID625%
Roter Trockenbeton,Red Concrete Powder,red_concrete_powder,%ID626%
Roter Farbstoff,Red Dye,red_dye,%ID627%
Rote glasierte Keramik,Red Glazed Terracotta,red_glazed_terracotta,%ID628%
Roter Pilz,Mushroom red,red_mushroom,%ID629%
Roter Pilzblock,Red Mushroom Block,red_mushroom_block,%ID630%
Rote Netherziegelstufe,Red Nether Brick Slab,red_nether_brick_slab,%ID631%
Rote Netherziegeltreppe,Red Nether Brick Stairs,red_nether_brick_stairs,%ID632%
Rote Netherziegelmauer,Red Nether Brick Wall,red_nether_brick_wall,%ID633%
Rote Netherziegel,Red Nether Brick,red_nether_bricks,%ID634%
Roter Sand,Red Sand,red_sand,%ID635%
Roter Sandstein,Red Sandstone,red_sandstone,%ID636%
Rote Sandsteinstufe,Red Sandstone Slab,red_sandstone_slab,%ID637%
Rote Sandsteintreppe,Red Sandstone Stairs,red_sandstone_stairs,%ID638%
Rote Sandsteinmauer,Red Sandstone Wall,red_sandstone_wall,%ID639%
Rote Shulkerbox,Red Shulker Box,red_shulker_box,%ID640%
Rotes Glas,Red Stained Glass,red_stained_glass,%ID641%
Rote Glasscheibe,Red Stained Glass Pane,red_stained_glass_pane,%ID642%
Rote Keramik,Red Terracotta,red_terracotta,%ID643%
Rote Tulpe,Red Tulip,red_tulip,%ID644%
Rote Wolle,Red Wool,red_wool,%ID645%
Redstone-Staub,Redstone,redstone,%ID646%
Redstone-Block,Block of Redstone,redstone_block,%ID647%
Redstone-Lampe,Redstone Lamp,redstone_lamp,%ID648%
Redstone-Erz,Redstone Ore,redstone_ore,%ID649%
Redstone-Fackel,Redstone Torch,redstone_torch,%ID650%
Redstone-Verstärker,Redstone Repeater,repeater,%ID651%
Rosenstrauch,Rose Bush,rose_bush,%ID652%
Verrotetes Fleisch,Rotten Flesh,rotten_flesh,%ID653%
Sattel,Saddle,saddle,%ID654%
Roher Lachs,Raw Salmon,salmon,%ID655%
Lachseimer,Bucket of Salmon,salmon_bucket,%ID656%
Sand,Sand,sand,%ID657%
Sandstein,Sandstone,sandstone,%ID658%
Sandsteinstufe,Sandstone Slab,sandstone_slab,%ID659%
Sandsteintreppe,Sandstone Stairs,sandstone_stairs,%ID660%
Sandsteinmauer,Sandstone Wall,sandstone_wall,%ID661%
Gerüst,Scaffolding,scaffolding,%ID662%
Hornschild,Scute,scute,%ID663%
Seelaterne,Sea Lantern,sea_lantern,%ID664%
Meeresgurke,Sea Pickle,sea_pickle,%ID665%
Seegras,Sea Grass,seagrass,%ID666%
Schaf-Spawn-Ei,Sheep Spawn Egg,sheep_spawn_egg,%ID668%
Schere,Shears,shears,%ID667%
Schild,Shield,shield,%ID669%
Shulkerkiste,Shulker Box,shulker_box,%ID670%
Shulkerschale,Shulker Shell,shulker_shell,%ID671%
Skelettschädel,Skeleton Skull,skeleton_skull,%ID672%
Schleimball,Slimeball,slime_ball,%ID673%
Schleimblock,Slime Block,slime_block,%ID674%
Schmiedetisch,Smithing Table,smithing_table,%ID675%
Räucherofen,Smoker,smoker,%ID676%
Glatter Quarzblock,Smooth Quartz,smooth_quartz,%ID677%
Glatte Quarzstufe,Smooth Quartz Slab,smooth_quartz_slab,%ID678%
Glatte Quarztreppe,Smooth Quartz Stairs,smooth_quartz_stairs,%ID679%
Glatter roter Sandstein,Smooth Red Sandstone,smooth_red_sandstone,%ID680%
Glatte rote Sandsteinstufe,Smooth Red Sandstone Slab,smooth_red_sandstone_slab,%ID681%
Glatte rote Sandsteintreppe,Smooth Red Sandstone Stairs,smooth_red_sandstone_stairs,%ID682%
Glatter Sandstein,Smooth Sandstone,smooth_sandstone,%ID683%
Glatte Sandsteinstufe,Smooth Sandstone Slab,smooth_sandstone_slab,%ID684%
Glatte Sandsteintreppe,Smooth Sandstone Stairs,smooth_sandstone_stairs,%ID685%
Glatter Stein,Smooth Stone,smooth_stone,%ID686%
Glatte Steinstufe,Smooth Stone Slab,smooth_stone_slab,%ID687%
Schnee,Snow,snow,%ID688%
Schneeblock,Snow Block,snow_block,%ID689%
Schneeball,Snowball,snowball,%ID690%
Seelensand,Soul Sand,soul_sand,%ID691%
Spawner,Monster Spawner,spawner,%ID692%
Spektralpfeil,Spectral Arrow,spectral_arrow,%ID693%
Spinnenauge,Spider Eye,spider_eye,%ID694%
Schwamm,Sponge,sponge,%ID695%
Fichtenholzboot,Spruce Boat,spruce_boat,%ID696%
Fichtenholzknopf,Spruce Button,spruce_button,%ID697%
Fichtenholztür,Spruce Door,spruce_door,%ID698%
Fichtenholzzaun,Spruce Fence,spruce_fence,%ID699%
Fichtenholzzauntor,Spruce Fence Gate,spruce_fence_gate,%ID700%
Fichtenholznadel,Spruce Leaves,spruce_leaves,%ID701%
Fichtenstamm,Spruce Log,spruce_log,%ID702%
Fichtenholzbretter,Spruce Wood Plank,spruce_planks,%ID703%
Fichtenholzdruckplatte,Spruce Pressure Plate,spruce_pressure_plate,%ID704%
Fichtensetzling,Spruce Sapling,spruce_sapling,%ID705%
Fichtenholzschild,Spruce Sign,spruce_sign,%ID706%
Fichtenholzstufe,Spruce Wood Slab,spruce_slab,%ID707%
Fichtenholztreppe,Spruce Wood Stairs,spruce_stairs,%ID708%
Fichtenholzfalltür,Spruce Trapdoor,spruce_trapdoor,%ID709%
Fichtenholz,Spruce Wood,spruce_wood,%ID710%
Stock,Stick,stick,%ID711%
Klebriger Kolben,Sticky Piston,sticky_piston,%ID712%
Stein,Stone,stone,%ID713%
Steinaxt,Stone Axe,stone_axe,%ID714%
Steinziegelstufe,Stone Brick Slab,stone_brick_slab,%ID715%
Steinziegeltreppe,Stone Brick Stairs,stone_brick_stairs,%ID716%
Steinziegelmauer,Stone Brick Wall,stone_brick_wall,%ID717%
Steinziegel,Stone Bricks,stone_bricks,%ID718%
Steinknopf,Stone Button,stone_button,%ID719%
Steinhacke,Stone Hoe,stone_hoe,%ID720%
Steinspitzhacke,Stone Pickaxe,stone_pickaxe,%ID721%
Steindruckplatte,Stone Pressure Plate,stone_pressure_plate,%ID722%
Steinschaufel,Stone Shovel,stone_shovel,%ID723%
Steinstufe,Stone Slab,stone_slab,%ID724%
Steintreppe,Stone Stairs,stone_stairs,%ID725%
Steinschwert,Stone Sword,stone_sword,%ID726%
Faden,String,string,%ID727%
Entrindeter Akazienstamm,Stripped Acacia Log,stripped_acacia_log,%ID728%
Entrindetes Akazienholz,Stripped Acacia Wood,stripped_acacia_wood,%ID729%
Entrindeter Birkenstamm,Stripped Birch Log,stripped_birch_log,%ID730%
Entrindetes Birkenholz,Stripped Birch Wood,stripped_birch_wood,%ID731%
Entrindeter Schwarzeichenstamm,Stripped Dark Oak Log,stripped_dark_oak_log,%ID732%
Entrindetes Schwarzeichenholz,Stripped Dark Oak Wood,stripped_dark_oak_wood,%ID733%
Entrindeter Tropenbaumstamm,Stripped Jungle Log,stripped_jungle_log,%ID734%
Entrindetes Tropenholz,Stripped Jungle Wood,stripped_jungle_wood,%ID735%
Entrindeter Eichenstamm,Stripped Oak Log,stripped_oak_log,%ID736%
Entrindetes Eichenholz,Stripped Oak Wood,stripped_oak_wood,%ID737%
Entrindeter Fichtenstamm,Stripped Spruce Log,stripped_spruce_log,%ID738%
Entrindetes Fichtenholz,Stripped Spruce Wood,stripped_spruce_wood,%ID739%
Zucker,Sugar,sugar,%ID740%
Sonnenblume,Sunflower,sunflower,%ID741%
Süßbeeren,Sweet Berries,sweet_berries,%ID742%
Hohes Gras,Double Tallgrass,tall_grass,%ID743%
Keramik,Terracotta,terracotta,%ID744%
TNT,TNT,tnt,%ID745%
TNT-Lore,Minecart with TNT,tnt_minecart,%ID746%
Fackel,Torch,torch,%ID747%
Totem der Unsterblichkeit,Totem of Undying,totem_of_undying,%ID748%
Redstone-Truhe,Trapped Chest,trapped_chest,%ID749%
Dreizack,Trident,trident,%ID750%
Haken,Tripwire Hook,tripwire_hook,%ID751%
Tropenfisch,Tropical Fish Clownfish,tropical_fish,%ID752%
Tropenfischeimer,Bucket of Tropical Fish,tropical_fish_bucket,%ID753%
Orgelkoralle,Tube Coral,tube_coral,%ID754%
Orgelkorallenblock,Tube Coral Block,tube_coral_block,%ID755%
Orgelkorallenfächer,Tube Coral Fan,tube_coral_fan,%ID756%
Schildkrötenei,Turtle Egg,turtle_egg,%ID757%
Schildkrötenpanzer,Turtle Shell,turtle_helmet,%ID758%
Schildkröten-Spawn-Ei,Turtle Spawn Egg,turtle_spawn_egg,%ID759%
Dorfbewohner-Spawn-Ei,Villager Spawn Egg,villager_spawn_egg,%ID760%
Ranken,Vines,vine,%ID761%
Wassereimer,Water Bucket,water_bucket,%ID762%
Nasser Schwamm,Wet Sponge,wet_sponge,%ID763%
Weizen,Wheat,wheat,%ID764%
Weizenkörner,Seeds,wheat_seeds,%ID765%
Weißes Banner,White Banner,white_banner,%ID766%
Weißes Bett,White Bed,white_bed,%ID767%
Weißer Teppich,White Carpet,white_carpet,%ID768%
Weißer Beton,White Concrete,white_concrete,%ID769%
Weißer Trockenbeton,White Concrete Powder,white_concrete_powder,%ID770%
Weißer Farbstoff,White Dye,white_dye,%ID771%
Weiße glasierte Keramik,White Glazed Terracotta,white_glazed_terracotta,%ID772%
Weiße Shulkerkiste,White Shulker Box,white_shulker_box,%ID773%
Weißes Glas,White Stained Glass,white_stained_glass,%ID774%
Weiße Glasscheibe,White Stained Glass Pane,white_stained_glass_pane,%ID775%
Weiße Keramik,White Terracotta,white_terracotta,%ID776%
Weiße Tulpe,White Tulip,white_tulip,%ID777%
Weiße Wolle,White Wool,white_wool,%ID778%
Witherrose,Wither Rose,wither_rose,%ID779%
Witherskelettschädel,Wither Skeleton Skull,wither_skeleton_skull,%ID780%
Wolf-Spawn-Ei,Wolf Spawn Egg,wolf_spawn_egg,%ID781%
Holzaxt,Wooden Axe,wooden_axe,%ID782%
Holzhacke,Wooden Hoe,wooden_hoe,%ID783%
Holzspitzhacke,Wooden Pickaxe,wooden_pickaxe,%ID784%
Holzschaufel,Wooden Shovel,wooden_shovel,%ID785%
Holzschwert,Wooden Sword,wooden_sword,%ID786%
Buch und Feder,Book and Quill,writable_book,%ID787%
Gelbes Banner,Yellow Banner,yellow_banner,%ID788%
Gelbes Bett,Yellow Bed,yellow_bed,%ID789%
Gelber Teppich,Yellow Carpet,yellow_carpet,%ID790%
Gelber Beton,Yellow Concrete,yellow_concrete,%ID791%
Gelber Trockenbeton,Yellow Concrete Powder,yellow_concrete_powder,%ID792%
Gelber Farbstoff,Yellow Dye,yellow_dye,%ID793%
Gelbe glasierte Keramik,Yellow Glazed Terracotta,yellow_glazed_terracotta,%ID794%
Gelbe Shulkerkiste,Yellow Shulker Box,yellow_shulker_box,%ID795%
Gelbes Glas,Yellow Stained Glass,yellow_stained_glass,%ID796%
Gelbe Glasscheibe,Yellow Stained Glass Pane,yellow_stained_glass_pane,%ID797%
Gelbe Keramik,Yellow Terracotta,yellow_terracotta,%ID798%
Gelbe Wolle,Yellow Wool,yellow_wool,%ID799%
Zombiekopf,Zombie Head,zombie_head,%ID800%
Bogen,Bow,bow,%ID801%
Zuckerrohr,Sugar Cane,sugar_cane,%ID802%
Steinsäge,Stonecutter,stonecutter,%ID316%
Geschnittene rote Sandsteinstufe,Cut Red Sandstone Slab,cut_red_sandstone_slab,%ID803%
Geschnittene Sandsteinstufe,Cut Sandstone Slab,cut_sandstone_slab,%ID804%
Bienenstock,Beehive,beehive,%ID805%
Bienennest,Bee Nest,bee_nest,%ID806%
Bienenwabe,Honeycomb,honeycomb,%ID807%
Honigflasche,Honey Bottle,honey_bottle,%ID808%
Honigwabenblock,Honeycomb Block,honeycomb_block,%ID809%
Honigblock,Honey Block,honey_block,%ID810%
Seltsame Suppe,Suspicious Stew,suspicious_stew,%ID811%
Karmesin-Nezel,Crimson Nylium,crimson_nylium,%ID812%
Karmesinbretter,Crimson Planks,crimson_planks,%ID813%
Karmesinstiel,Crimson Stem,crimson_stem,%ID814%
Geschälter Karmesinstiel,Stripped Crimson Stem,stripped_crimson_stem,%ID815%
Geschälte Karmesinhyphen,Stripped Crimson Hyphae,stripped_crimson_hyphae,%ID816%
Karmesinhyphen,Crimson_hyphae,crimson_hyphae,%ID817%
Karmesinstufe,Crimson Slab,crimson_slab,%ID818%
Karmesintreppe,Cimson Stairs,crimson_stairs,%ID819%
Karmesinpilz,Crimson Fungus,crimson_fungus,%ID820%
Karmesinwurzeln,Crimson Roots,crimson_roots,%ID821%
Trauerranken,Weeping Vines,weeping_vines,%ID822%
Karmesinzaun,Crimson Fence,crimson_fence,%ID823%
Karmesinschild,Crimson Sign,crimson_sign,%ID824%
Karmesindruckplatte,Crimson Pressure Plate,crimson_pressure_plate,%ID825%
Karmesinfalltür,Crimson Trapdoor,crimson_trapdoor,%ID826%
Karmesinzauntor,Crimson Fence Gate,crimson_fence_gate,%ID827%
Karmesinknopf,Crimson Button,crimson_button,%ID828%
Karmesintür,Crimson Door,crimson_door,%ID829%
Wirr-Nezel,Warped Nylium,warped_nylium,%ID830%
Wirrbretter,Warped Planks,warped_planks,%ID831%
Wirrstiel,Warped Stem,warped_stem,%ID832%
Geschälter Wirrstiel,Stripped Warped Stem,stripped_warped_stem,%ID833%
Geschälte Wirrhyphen,Stripped Warped Hyphae,stripped_warped_hyphae,%ID834%
Wirrhyphen,Warped Hyphae,warped_hyphae,%ID835%
Wirrstufe,Warped Slab,warped_slab,%ID836%
Wirrtreppe,Warped Stairs,warped_stairs,%ID837%
Wirrwarzenblock,Warped Wart Block,warped_wart_block,%ID838%
Wirrpilz,Warped Fungus,warped_fungus,%ID839%
Wirrwurzeln,Warped Roots,warped_roots,%ID840%
Zwirbelranken,Twisting Vines,twisting_vines,%ID841%
Wirrzaun,Warped Fence,warped_fence,%ID842%
Wirrdruckplatte,Warped Pressure Plate,warped_pressure_plate,%ID844%
Wirrfalltür,Warped Trapdoor,warped_trapdoor,%ID845%
Wirrzauntor,Warped Fence Gate,warped_fence_gate,%ID846%
Wirrknopf,Warped Button,warped_button,%ID847%
Wirrtür,Warped Door,warped_door,%ID848%
Schwarzstein,Blackstone,blackstone,%ID849%
Schwarzsteinstufe,Blackstone Slab,blackstone_slab,%ID850%
Schwarzsteintreppe,Blackstone Stairs,blackstone_stairs,%ID851%
Golddurchzogener Schwarzstein,Gilded Blackstone,gilded_blackstone,%ID852%
Polierter Schwarzstein,Polished Blackstone,polished_blackstone,%ID853%
Polierter Schwarzsteinstufe,Polished Blackstone Slab,polished_blackstone_slab,%ID854%
Polierter Schwazsteintreppe,Polished Blackstone Stairs,polished_blackstone_stairs,%ID855%
Gemeißelter polierter Schwarzstein,Chiseled Polished Blackstone,chiseled_polished_blackstone,%ID856%
Polierte Schwarzsteinziegel,Polished Blackstone Bricks,polished_blackstone_bricks,%ID857%
Polierte Schwarzsteinziegelstufe,Polished Blackstone Brick Slab,polished_blackstone_brick_slab,%ID858%
Polierte Schwarzsteinziegeltreppe,Polished Blackstone Brick Stairs,polished_blackstone_brick_stairs,%ID859%
Rissige polierte Schwarzsteinziegel,Cracked Polished Blackstone Bricks,cracked_polished_blackstone_bricks,%ID860%
Schwarzsteinmauer,Blackstone Wall,blackstone_wall,%ID861%
Polierte Schwarzsteinmauer,Polished Blackstone Wall,polished_blackstone_wall,%ID862%
Polierte Schwarzsteinziegelmauer,Polished Blackstone Brick Wall,polished_blackstone_brick_wall,%ID863%
Polierte Schwarzsteindruckplatte,Polished Blackstone Pressure Plate,polished_blackstone_pressure_plate,%ID864%
Polierte Schwarzsteinknopf,Polished Blackstone Button,polished_blackstone_button,%ID865%
Nethergolderz,Nether Gold Ore,nether_gold_ore,%ID866%
Seelenerde,Soul Soil,soul_soil,%ID867%
Basalt,Basalt,basalt,%ID868%
Polierter Basalt,Polished Basalt,polished_basalt,%ID869%
Rissige Netherziegel,Cracked Nether Bricks,cracked_nether_bricks,%ID870%
Gemeißelte Netherzielel,Chiseled Nether Bricks,chiseled_nether_bricks,%ID871%
Quarzziegel,Quartz Bricks,quartz_bricks,%ID872%
Antiker Schrott,Ancient Debris,ancient_debris,%ID873%
Netheritplatten,Netherite Scrap,netherite_scrap,%ID874%
Netheritbarren,Netherite Ingot,netherite_ingot,%ID875%
Netheritblock,Netherite Block,netherite_block,%ID876%
